"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"GOLD","Randgold Resources Limited","69.09","6406309174.44","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gold",
"RPTP","Raptor Pharmaceutical Corp.","10.19","639349855.49","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rptp",
"RAVN","Raven Industries, Inc.","23.48","856872029.04","n/a","n/a","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/ravn",
"ROLL","RBC Bearings Incorporated","53.64","1257623754.12","n/a","2005","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/roll",
"RICK","RCI Hospitality Holdings, Inc.","10.61","107572423.97","n/a","1995","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/rick",
"RCMT","RCM Technologies, Inc.","7.18","90048336.18","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/rcmt",
"RLOC","ReachLocal, Inc.","4.03","117449796.1","n/a","2010","Technology","Advertising","http://www.nasdaq.com/symbol/rloc",
"RDI","Reading International Inc","8.62","204706949.72","n/a","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/rdi",
"RDIB","Reading International Inc","10.06","226175006.3","n/a","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/rdib",
"RGSE","Real Goods Solar, Inc.","1.23","63863560.62","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/rgse",
"RNWK","RealNetworks, Inc.","6.13","220652837.97","n/a","1997","Technology","EDP Services","http://www.nasdaq.com/symbol/rnwk",
"RP","RealPage, Inc.","16.21","1283990582.43","n/a","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/rp",
"RCPT","Receptos, Inc.","63.68","1737105196.16","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rcpt",
"QYLD","Recon Capital NASDAQ-100 Covered Call ETF","23.6658","11833822.9662","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qyld",
"RCON","Recon Technology, Ltd.","4.73","22357343.03","n/a","2009","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/rcon",
"REPH","Recro Pharma, Inc.","2.87","22120812","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/reph",
"RRGB","Red Robin Gourmet Burgers, Inc.","49.59","711449381.7","n/a","2002","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/rrgb",
"RDHL","Redhill Biopharma Ltd.","10.2","89136076.2","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rdhl",
"REDF","Rediff.com India Limited","2.02","55732519.12","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/redf",
"RGDO","Regado BioSciences, Inc.","1.11","37306225.32","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rgdo",
"REGN","Regeneron Pharmaceuticals, Inc.","328.07","33156605499.01","n/a","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/regn",
"RGLS","Regulus Therapeutics Inc.","6.73","292030481.85","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rgls",
"REIS","Reis, Inc","23.29","258557777.85","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/reis",
"RELV","Reliv&#39; International, Inc.","1.33","16845290.56","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/relv",
"RLYP","Relypsa, Inc.","18.16","617382015.12","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rlyp",
"MARK","Remark Media, Inc.","4.9399","60342360.47","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/mark",
"REMY","Remy International, Inc.","19.11","611430794.52","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/remy",
"RNST","Renasant Corporation","28.39","894842607.99","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/rnst",
"REGI","Renewable Energy Group, Inc.","9.6","406143312","n/a","2012","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/regi",
"RCII","Rent-A-Center Inc.","32.055","1694190189.165","n/a","1995","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/rcii",
"RTK","Rentech, Inc.","1.47","335310147.27","n/a","1991","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/rtk",
"RENT","Rentrak Corporation","70.21","863701093.22","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rent",
"RGEN","Repligen Corporation","21.52","702587068.96","n/a","1986","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/rgen",
"RPRX","Repros Therapeutics Inc.","9.63","222544090.17","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/rprx",
"RPRXW","Repros Therapeutics Inc.","18.09","0","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/rprxw",
"RPRXZ","Repros Therapeutics Inc.","14.93","0","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/rprxz",
"RJET","Republic Airways Holdings, Inc.","10.67","533098370.53","n/a","2004","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/rjet",
"RBCAA","Republic Bancorp, Inc.","24.32","505705994.24","n/a","1998","Finance","Major Banks","http://www.nasdaq.com/symbol/rbcaa",
"FRBK","Republic First Bancorp, Inc.","3.95","149369261.85","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/frbk",
"REFR","Research Frontiers Incorporated","4.9","117229878.5","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/refr",
"RESN","Resonant Inc.","5.8","40006631","n/a","2014","Technology","Semiconductors","http://www.nasdaq.com/symbol/resn",
"REXI","Resource America, Inc.","9.45","192338902.35","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/rexi",
"RECN","Resources Connection, Inc.","13.9","529347862","n/a","2000","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/recn",
"RGDX","Response Genetics, Inc.","0.6","23239737.6","n/a","2007","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/rgdx",
